"Episode","Step","Total Reward","Number of Episodes Solved"
156,999,-99.53581817037384,1
157,999,-98.9290121623891,1
158,999,-98.94966947694459,1
159,999,-99.43746226884404,1
160,999,-98.97477238689147,1
161,999,-99.17126183558803,1
162,999,-99.44866896216308,1
163,999,-99.22521432146104,1
164,999,-98.69605432842886,1
165,999,-99.46128079644448,1
166,999,-99.53764616801352,1
167,999,-99.00807719163504,1
168,999,-99.02146878812246,1
169,999,-98.94147991892034,1
170,999,-99.04015925036668,1
171,999,-99.18862606816846,1
172,999,-99.34259445500693,1
173,999,-99.2141563810821,1
174,999,-99.16126368819832,1
175,999,-99.63214502856434,1
176,999,-99.44184094532001,1
177,999,-99.10487817568037,1
178,999,-99.11761708041244,1
179,999,-98.94310002029245,1
180,999,-98.95300534780301,1
181,999,-99.11312279986205,1
182,999,-98.7558181022677,1
183,999,-99.37973667269044,1
184,999,-98.88719384704027,1
185,999,-98.99342812189909,1
186,999,-99.21450161911936,1
187,999,-99.1132707930193,1
188,999,-99.34016560343596,1
189,999,-98.72556912694175,1
190,999,-99.0320135744166,1
191,999,-99.58536553638447,1
192,999,-99.30574308190126,1
193,999,-99.33736726672113,1
194,999,-99.12265383616224,1
195,999,-99.40675116619688,1
196,999,-99.47279149674439,1
197,999,-99.29942939596813,1
198,999,-99.56977066819026,1
199,999,-99.24571915842836,1
200,999,-99.4186188279521,1
201,999,-99.00142312007857,1
202,999,-99.1258236069499,1
203,999,-99.37021220315556,1
204,999,-99.47336406279508,1
205,999,-99.32731340564796,1
206,999,-98.87649842792935,1
207,999,-99.69662632514708,1
208,999,-99.46642902704414,1
209,999,-99.2176860485285,1
210,999,-99.29185878491634,1
211,999,-99.2564254535334,1
212,999,-99.22902413067249,1
213,999,-99.22850554298978,1
214,999,-99.14864850050664,1
215,999,-99.36803343382572,1
216,999,-99.41513830482297,1
217,999,-99.04153678425801,1
218,999,-99.55313274037808,1
219,999,-98.79426654353496,1
220,999,-99.28850556799996,1
221,999,-99.16241695362996,1
222,999,-99.29202351897774,1
223,999,-99.07917297593677,1
224,999,-99.13561967668403,1
225,999,-98.96211086361305,1
226,999,-99.40898598280772,1
227,999,-99.53844388619916,1
228,999,-99.67059419470213,1
229,999,-99.34130653303085,1
230,999,-99.49753292649265,1
231,999,-99.08398344379975,1
232,999,-99.41900190084132,1
233,999,-99.35487080515895,1
234,999,-99.43624518356674,1
235,999,-99.55257403752337,1
236,999,-99.61688318355743,1
237,999,-99.0820511009691,1
238,999,-99.19690901903971,1
239,999,-98.68196228635655,1
240,999,-99.46348907833607,1
241,999,-99.12664741739329,1
242,999,-99.80533468156361,1
243,999,-99.33845363825833,1
244,999,-99.37646816114582,1
245,999,-99.42399024809428,1
246,999,-99.30581108323393,1
247,999,-99.35577816019949,1
248,999,-99.4190359288711,1
249,999,-99.23946755494411,1
250,999,-98.8377729982852,1
251,999,-99.33209015049114,1
252,999,-99.20970457150698,1
253,999,-99.52820495494096,1
254,999,-99.54928031165919,1
255,999,-99.13732944958366,1
256,999,-99.63594199094811,1
257,999,-99.56281670264332,1
258,999,-99.41825128894715,1
259,999,-99.39649710781676,1
260,999,-98.97250909913578,1
261,999,-99.41141889332258,1
262,999,-99.30920083671526,1
263,999,-99.15988010734335,1
264,999,-99.61250146182002,1
265,999,-99.11692399461616,1
266,999,-99.09110355872991,1
267,999,-99.25094108346974,1
268,999,-99.1805140304555,1
269,999,-99.23091489392256,1
270,999,-99.11596359954319,1
271,999,-99.27641505314395,1
272,999,-99.58494710890672,1
273,999,-99.15015019579306,1
274,999,-99.41058694736576,1
275,999,-99.01442452339263,1
276,999,-99.70163056476893,1
277,999,-99.36814045473592,1
278,999,-99.62696346780291,1
279,999,-99.00267005603537,1
280,999,-99.73684374506416,1
281,999,-99.47393690789475,1
282,999,-99.52874310323539,1
283,999,-99.41982669716825,1
284,999,-99.44835815147678,1
285,999,-99.17148936064488,1
286,999,-99.32848054208888,1
287,999,-99.55889921166971,1
288,999,-99.35266158982277,1
289,999,-99.00584517659746,1
290,999,-99.05858002317846,1
291,999,-99.03806520697555,1
292,999,-99.30324518294519,1
293,999,-99.65961466031592,1
294,999,-99.49370146319569,1
295,999,-98.88684524655157,1
296,999,-99.51255159164437,1
297,999,-99.50073928679059,1
298,999,-99.34107642094614,1
299,999,-99.35396453570436,1
300,999,-99.34588376974726,1
301,999,-99.71307344866808,1
302,999,-99.42124477044716,1
303,999,-99.66374367908728,1
304,999,-99.6467984900825,1
305,999,-99.71228056677506,1
306,999,-99.28434887828342,1
307,999,-99.59100251054632,1
308,999,-99.57481862008581,1
309,999,-99.35851837379312,1
310,999,-99.61215806367116,1
311,999,-99.7965017405121,1
312,999,-99.36564470747699,1
313,999,-99.19598018363767,1
314,999,-99.46636520512847,1
315,999,-99.51774869969239,1
316,999,-99.42310866409431,1
317,999,-99.55824760800904,1
318,999,-99.42991209439215,1
319,999,-99.17344661647232,1
320,999,-99.07268370278337,1
321,999,-99.36340620332929,1
322,999,-99.26242247986711,1
323,999,-99.18354120097656,1
324,999,-99.75254031361553,1
325,999,-99.36270999545532,1
326,999,-99.34532000168846,1
327,999,-99.47458255538812,1
328,999,-99.51874321613731,1
329,999,-99.41959523901615,1
330,999,-99.43545870311945,1
331,999,-99.35700265823989,1
332,999,-99.23797412928114,1
333,999,-99.45920754796543,1
334,999,-99.4682097468584,1
335,999,-99.70739983387618,1
336,999,-99.5008525760365,1
337,999,-99.34307244792151,1
338,999,-99.43137234301402,1
339,999,-99.41312868526737,1
340,999,-99.828181480954,1
341,999,-99.18351692450972,1
342,999,-99.25725235896108,1
343,999,-99.51303601791741,1
344,999,-99.33599321164812,1
345,999,-99.54155206453295,1
346,999,-99.17718660117396,1
347,999,-99.33165537964678,1
348,999,-99.45186253069559,1
349,999,-99.4794594934633,1
350,999,-99.32954832361294,1
351,999,-99.28635459869992,1
352,999,-99.58715894941713,1
353,999,-99.22247959834358,1
354,999,-99.01664543288216,1
355,999,-99.69019841244888,1
356,999,-99.26795465602927,1
357,999,-98.96509973097139,1
358,999,-99.70386057990696,1
359,999,-99.4926817723536,1
360,999,-99.06593032372778,1
361,999,-99.47816617475625,1
362,999,-99.39352062048427,1
363,999,-99.11492741274425,1
364,999,-99.25013162795231,1
365,999,-99.26761591948461,1
366,999,-99.5268910980624,1
367,999,-99.03845122674403,1
368,999,-99.37283479276384,1
369,999,-99.48694658700121,1
370,999,-99.51127159115866,1
371,999,-99.40317587794279,1
372,999,-99.35834855423752,1
373,999,-99.11150920703085,1
374,999,-99.56988357985982,1
375,999,-99.63869557131555,1
376,999,-99.7103266306091,1
377,999,-98.96466378459456,1
378,999,-99.4861268890746,1
379,999,-99.61478876349143,1
380,999,-99.73305077095146,1
381,999,-99.66306745667396,1
382,999,-99.47921399258345,1
383,999,-99.46710061511266,1
384,999,-99.71959234525136,1
385,999,-99.16853863217847,1
386,999,-99.26697076098071,1
387,999,-99.59488124010831,1
388,999,-99.26635224331267,1
389,999,-98.98457256837003,1
390,999,-99.53158039971464,1
391,999,-99.44809962657754,1
392,999,-99.38726602855031,1
393,999,-99.21681947555636,1
394,999,-99.61169347207623,1
395,999,-99.79819982318303,1
396,999,-99.82820247322094,1
397,999,-99.40973532244398,1
398,999,-99.65910248682928,1
399,999,-99.39237939044405,1
400,999,-99.08298053313497,1
401,999,-99.46391762723077,1
402,999,-99.66514311593936,1
403,999,-99.6373960491678,1
404,999,-99.55589379968158,1
405,999,-99.8889401587891,1
406,999,-99.66921606756375,1
407,999,-99.35576533736464,1
408,999,-99.65369837445185,1
409,999,-99.4313251743254,1
410,999,-99.6820878422456,1
411,999,-99.31644060497356,1
412,999,-99.59668664786011,1
413,999,-99.4933926010811,1
414,999,-99.46646723658786,1
415,999,-99.56578846185447,1
416,999,-99.31756437681335,1
417,999,-99.55550743965875,1
418,999,-99.4676401041551,1
419,999,-99.52607591561834,1
420,999,-99.28557629314028,1
421,999,-99.5792290993836,1
422,999,-99.77257376490604,1
423,999,-99.61821368554527,1
424,999,-99.47670550534832,1
425,999,-99.64409497515742,1
426,999,-99.36155479456075,1
427,999,-99.596325610891,1
428,999,-99.61476031490609,1
429,999,-99.48192823805591,1
430,999,-99.68179707002135,1
431,999,-99.3327805889946,1
432,999,-99.49690127442017,1
433,999,-99.34497209527625,1
434,999,-98.8892590615041,1
435,999,-99.33653880321808,1
436,999,-99.61048595665787,1
437,999,-99.66702171389487,1
438,999,-99.6597494611561,1
439,999,-99.4971369616397,1
440,999,-99.71240907063337,1
441,999,-99.52437329798713,1
442,999,-99.61853526198982,1
443,999,-99.74130321805721,1
444,999,-99.23793147413099,1
445,999,-99.660253037086,1
446,999,-99.42987227751738,1
447,999,-99.53971778360874,1
448,999,-99.48307034683974,1
449,999,-99.42686132199168,1
450,999,-99.10345068945327,1
451,999,-99.45859381913189,1
452,999,-99.39696960666924,1
453,999,-99.36103065748475,1
454,999,-99.60128138712469,1
455,999,-99.58536228413001,1
456,999,-99.34875917076725,1
457,999,-99.67441142151809,1
458,999,-99.66270887201397,1
459,999,-99.40280404825326,1
460,999,-99.54161255265943,1
461,999,-99.52108679593519,1
462,999,-99.53445518890375,1
463,999,-99.4530080434285,1
464,999,-99.4910243389183,1
465,999,-99.82816270200861,1
466,999,-99.58824252021739,1
467,999,-99.54906606457524,1
468,999,-99.84121324178274,1
469,999,-99.70029251594539,1
470,999,-99.56057323440916,1
471,999,-99.37191592634198,1
472,999,-99.54619628142542,1
473,999,-99.82189392224397,1
474,999,-99.58956216373488,1
475,999,-99.70914385510848,1
476,999,-99.50710611595576,1
477,999,-99.20823275500888,1
478,999,-99.1312770747537,1
479,999,-99.73600739555411,1
480,999,-99.65057504943258,1
481,999,-99.68983900277388,1
482,999,-99.3644246202196,1
483,999,-99.30936284092178,1
484,999,-99.64667036885373,1
485,999,-99.61864580176052,1
486,999,-99.59009799474013,1
487,999,-99.53925279282711,1
488,999,-99.54305326425829,1
489,999,-99.5775365518858,1
490,999,-99.6873507623605,1
491,999,-99.71520413617696,1
492,999,-99.68075509787313,1
493,999,-99.46497277064344,1
494,999,-99.81828669643043,1
495,999,-99.39664972578039,1
496,999,-99.65013654390793,1
497,999,-99.60440110075149,1
498,999,-99.5836667865399,1
499,999,-99.26644603499308,1
500,999,-99.61824235492975,1
501,999,-99.53467971921644,1
502,999,-99.61212976364631,1
503,999,-99.66172148113118,1
504,999,-99.6038995132826,1
505,999,-99.5086431803881,1
506,999,-99.60804693886173,1
507,999,-99.47610827020115,1
508,999,-99.70608986335435,1
509,999,-99.52320060087811,1
510,999,-99.57597783816027,1
511,999,-99.85414378198189,1
512,999,-99.73239931842407,1
513,999,-99.76070207555756,1
514,999,-99.73327537159062,1
515,999,-99.56089829557904,1
516,999,-99.81781092231837,1
517,999,-99.68767541742861,1
518,999,-99.3146623849404,1
519,999,-99.42867304798428,1
520,999,-99.74437212327473,1
521,999,-99.59900965558343,1
522,999,-99.5265901760781,1
523,999,-99.74337589156792,1
524,999,-99.57075624881553,1
525,999,-99.41807313954789,1
526,999,-99.5360725528896,1
527,999,-99.78109268501727,1
528,999,-99.53506607190945,1
529,999,-99.64702742245724,1
530,999,-99.34557591687634,1
531,999,-99.5595366475275,1
532,999,-99.58161010905613,1
533,999,-99.68996157004008,1
534,999,-99.66245520919772,1
535,999,-99.78779294263664,1
536,999,-99.57826343921924,1
537,999,-99.40822897664047,1
538,999,-99.61248713991816,1
539,999,-99.46191340443919,1
540,999,-99.27273957660518,1
